cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
half-rank,25.005,0,0,0,10.0,0.3122977263053669,50,3.1701307776274703
half-rank,25.005,0,0,0,15.0,0.3878092321050042,50,2.873154634624691
half-rank,25.005,0,0,0,20.0,0.4550217163432047,50,2.6655017999854693
half-rank,25.005,0,0,0,25.0,0.5173988282952031,50,2.506128942513676
half-rank,25.005,0,0,0,30.0,0.5766156905086469,50,2.3771953180435754
half-rank,25.005,0,0,0,35.0,0.6350012330895909,50,2.2666509591285986
half-rank,25.005,0,0,0,40.0,0.6925686815319559,50,2.171856999518908
half-rank,25.005,0,0,0,45.0,0.7506028789063172,50,2.086875363087148
half-rank,25.005,0,0,0,50.0,0.8098613764586671,50,2.010021367255756
half-rank,25.005,0,0,0,60.0,0.935479060899334,50,1.872550749807203
half-rank,25.005,0,0,0,70.0,1.079678833169242,50,1.747296406902369
half-rank,25.005,0,0,0,75.0,1.1630714439096472,50,1.6870965473046249
half-rank,25.005,0,0,0,80.0,1.2587411929412775,50,1.6263261617848748
half-rank,25.005,0,0,0,82.13,1.3037782496980546,50,1.600608995065959
half-rank,25.005,0,0,0,85.0,1.372984269918,50,1.5639061967237828
half-rank,25.005,0,0,0,90.0,1.524830826735882,50,1.4940181821067609
half-rank,25.005,0,0,0,95.0,1.7607636232807993,50,1.4086553166440758
half-rank,25.005,0,0,0,99.0,2.235606640179238,50,1.291316673256306
half-rank,25.005,0,0,0,99.73,2.5349036993062706,50,1.2415504243665831
half-rank,50.005,0,0,0,5.0,0.2217669708074449,100,3.786523340864446
half-rank,50.005,0,0,0,10.0,0.3185057759523503,100,3.2211614795416543
half-rank,50.005,0,0,0,15.0,0.3964937813420296,100,2.9034226265984038
half-rank,50.005,0,0,0,20.0,0.4646235773153903,100,2.6862646833442567
half-rank,50.005,0,0,0,25.0,0.5278505360142202,100,2.5198264119975664
half-rank,50.005,0,0,0,30.0,0.5882947149309331,100,2.3847267010447752
