cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
full-rank,20.000000000000004,0,0,0,5.0,0.4173278332428441,20,1.705013572476645
full-rank,20.000000000000004,0,0,0,10.0,0.4714890108681296,20,1.6915176486702004
full-rank,20.000000000000004,0,0,0,15.0,0.5131247282380338,20,1.6766482867158807
full-rank,20.000000000000004,0,0,0,20.0,0.5497149292704597,20,1.660219861303359
full-rank,20.000000000000004,0,0,0,25.0,0.584138376731201,20,1.6423184420034125
full-rank,20.000000000000004,0,0,0,30.0,0.6175235732587713,20,1.623177808552715
full-rank,20.000000000000004,0,0,0,35.0,0.6509249505295744,20,1.6028384344038402
full-rank,20.000000000000004,0,0,0,40.0,0.6850909917234781,20,1.580900508425371
full-rank,20.000000000000004,0,0,0,45.0,0.7205952052398593,20,1.557471629749586
full-rank,20.000000000000004,0,0,0,50.0,0.75840585235658,20,1.532583718054032
full-rank,20.000000000000004,0,0,0,60.0,0.8434969764682482,20,1.4784052949496953
full-rank,20.000000000000004,0,0,0,70.0,0.9509094124774606,20,1.4150719440356496
full-rank,20.000000000000004,0,0,0,75.0,1.0192146456054012,20,1.378967471497916
full-rank,20.000000000000004,0,0,0,80.0,1.1039078681648664,20,1.3387456845979684
full-rank,20.000000000000004,0,0,0,82.13,1.1465831066012202,20,1.320300878970501
full-rank,20.000000000000004,0,0,0,85.0,1.2164353937262191,20,1.2929808194799872
full-rank,20.000000000000004,0,0,0,90.0,1.384004121681785,20,1.2390720770903247
full-rank,20.000000000000004,0,0,0,95.0,1.6949449847529328,20,1.170324383654495
full-rank,20.000000000000004,0,0,0,99.0,2.6094303259821685,20,1.075580537423981
full-rank,20.000000000000004,0,0,0,99.73,3.487486651597694,20,1.038830139279095
full-rank,50.0,0,0,0,5.0,0.4415280949113693,50,1.744233051562866
full-rank,50.0,0,0,0,10.0,0.4920205487929497,50,1.727539241447846
full-rank,50.0,0,0,0,15.0,0.5311146766322931,50,1.709419009593819
full-rank,50.0,0,0,0,20.0,0.5658886717531367,50,1.690112934008913
full-rank,50.0,0,0,0,25.0,0.5988055657170513,50,1.669732501196992
full-rank,50.0,0,0,0,30.0,0.6306392845175327,50,1.6482195653980407
full-rank,50.0,0,0,0,35.0,0.6625804212266412,50,1.625349110699533
full-rank,50.0,0,0,0,40.0,0.6953896012301669,50,1.6008812646221946
full-rank,50.0,0,0,0,45.0,0.7294506696211401,50,1.5752625745198652
full-rank,50.0,0,0,0,50.0,0.7660221411297541,50,1.5479584050053272
full-rank,50.0,0,0,0,60.0,0.8486545180886956,50,1.4885498508851445
full-rank,50.0,0,0,0,70.0,0.9530817943183428,50,1.4207077987171537
