i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
5,1.0,0,1,-1,82.13,1.347876875982888,2,0.9818593931885234,9.553562113650063e-05,0.9325028363856319
5,1.0,0,1,-1,82.13,1.346239921393095,2,0.9525262121342282,0.00012767370229004277,0.9301043017200985
5,1.0,0,1,-1,82.13,1.3449236668320192,5,0.9472729002990343,9.928504670956872e-05,0.9215582302913354
5,1.0,0,1,-1,82.13,1.3423044922455616,10,0.9485647499344185,8.927980259339497e-05,0.9765333823372201
6,1.0,0,1,-1,82.13,1.3465809614941218,2,0.9296660064316726,0.00010835984541686742,0.9325028363856319
6,1.0,0,1,-1,82.13,1.3388745329407128,2,0.9885884240967678,0.00011463345400620355,0.9301043017200985
6,1.0,0,1,-1,82.13,1.3490992517211746,5,0.968529721724833,8.259941349319352e-05,0.9215582302913354
6,1.0,0,1,-1,82.13,1.3485377131106264,10,0.9209952184891887,0.00010576810760048124,0.9765333823372201
7,1.0,0,1,-1,82.13,1.3396229312336037,2,0.9149383155653878,8.869492682511998e-05,0.9325028363856319
7,1.0,0,1,-1,82.13,1.3401141929936606,2,0.9662080092569898,9.840759163922125e-05,0.9301043017200985
7,1.0,0,1,-1,82.13,1.349085520794977,5,0.9785458965922987,0.00011808253247418889,0.9215582302913354
7,1.0,0,1,-1,82.13,1.3418299191329235,10,0.9685882249570307,0.00011089555242172169,0.9765333823372201
8,1.0,0,1,-1,82.13,1.339549099422767,2,0.8942571845997296,0.00010706737691039817,0.9325028363856319
8,1.0,0,1,-1,82.13,1.351189172570635,2,0.8688971966124759,0.00012280798112661333,0.9301043017200985
8,1.0,0,1,-1,82.13,1.3422619104923004,5,0.9448608675961372,0.00010739080868759387,0.9215582302913354
8,1.0,0,1,-1,82.13,1.3393887133247244,10,0.9629748076284906,0.00010130264272984004,0.9765333823372201
9,1.0,0,1,-1,82.13,1.3424871020180627,2,0.8535587371679756,9.324076764929422e-05,0.9325028363856319
9,1.0,0,1,-1,82.13,1.3415167737096076,2,0.9005116312170895,0.0001107391357365469,0.9301043017200985
9,1.0,0,1,-1,82.13,1.343033198007389,5,0.9424266228077298,6.775016982184392e-05,0.9215582302913354
9,1.0,0,1,-1,82.13,1.3423792493795585,10,1.081331685306676,9.152403998595777e-05,0.9765333823372201
