i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
3,1.0,0,1,-1,99.0,2.5638370901489127,2,0.9300057558128875,0.00011373283899195871,0.9423433655779926
3,1.0,0,1,-1,99.0,2.5754440563955856,5,0.8764049191341937,9.956610074487551e-05,0.9305695738057851
3,1.0,0,1,-1,99.0,2.5571847858994454,10,1.0115348555223802,0.00010633870766940926,0.9847678916388881
4,1.0,0,1,-1,99.0,2.551888295629597,2,0.9448074406554655,0.00012485839704580117,0.9497659722353247
4,1.0,0,1,-1,99.0,2.5706012647534333,2,0.9370650239906344,0.0001246790013505406,0.9423433655779926
4,1.0,0,1,-1,99.0,2.564173169310318,5,0.8556169728509473,0.00010681092086643415,0.9305695738057851
4,1.0,0,1,-1,99.0,2.5639657814604844,10,0.9396410210129503,0.00010279817951719056,0.9847678916388881
5,1.0,0,1,-1,99.0,2.549315058778668,2,1.0077473078497539,9.308141660742428e-05,0.9497659722353247
5,1.0,0,1,-1,99.0,2.5776504080163565,2,0.9655885982414171,0.00012594654519841578,0.9423433655779926
5,1.0,0,1,-1,99.0,2.5592615663943787,5,0.9255335673560968,0.00010161709685102401,0.9305695738057851
5,1.0,0,1,-1,99.0,2.563738296407168,10,0.9574309958719525,8.845303106577525e-05,0.9847678916388881
6,1.0,0,1,-1,99.0,2.5383564688156324,2,0.9402331820321911,0.00010714200123050273,0.9497659722353247
6,1.0,0,1,-1,99.0,2.5517636007107884,2,0.9982380219943233,0.00011352533478774517,0.9423433655779926
6,1.0,0,1,-1,99.0,2.5496924877629548,5,0.9600523586577215,8.332877498165574e-05,0.9305695738057851
6,1.0,0,1,-1,99.0,2.5631169073744533,10,0.9157733417699454,0.00010637121318733957,0.9847678916388881
7,1.0,0,1,-1,99.0,2.548341066596006,2,0.9433640286995666,8.602234607189436e-05,0.9497659722353247
7,1.0,0,1,-1,99.0,2.5671373219114724,2,0.9786422664762574,9.715726212793152e-05,0.9423433655779926
7,1.0,0,1,-1,99.0,2.5815129109534247,5,0.9779467401615717,0.00011815487783389299,0.9305695738057851
7,1.0,0,1,-1,99.0,2.5565523765730536,10,0.9871733987992783,0.00010880776002111949,0.9847678916388881
8,1.0,0,1,-1,99.0,2.5611703613595616,2,0.9327914073383525,0.00010264435358766205,0.9497659722353247
