n,epsilon,m_est,var_mu_n,var_mu_n_fm,RE,var_X,modulation,M-estimator
10,0.3,huber_45,0.2231752544577461,0.5482481369969407,2.456581211608928,1.8915657871833254,1.1798439999809351,"Huber
(Cutoff: π/4)"
20,0.3,huber_45,0.0630301360518356,0.440699829854722,6.9918908233403325,1.8915657871833254,0.6664334540084056,"Huber
(Cutoff: π/4)"
50,0.3,huber_45,0.045836100723971686,0.40858121371752726,8.913960988480083,1.8915657871833254,1.2115915035718865,"Huber
(Cutoff: π/4)"
100,0.3,huber_45,0.040428175041535896,0.4032217281750024,9.97378011153688,1.8915657871833254,2.13728622686374,"Huber
(Cutoff: π/4)"
500,0.3,huber_45,0.03509044552520502,0.39417729222539655,11.233180038773346,1.8915657871833254,9.275502275143484,"Huber
(Cutoff: π/4)"
1000,0.3,huber_45,0.03541833722079187,0.3992609235114886,11.272717886855165,1.8915657871833254,18.724348611492,"Huber
(Cutoff: π/4)"
5000,0.3,huber_45,0.03422379346739828,0.39565943573933515,11.56094622053636,1.8915657871833254,90.4641903001426,"Huber
(Cutoff: π/4)"
10000,0.3,huber_45,0.03384505119483983,0.39492299593612257,11.668559567619573,1.8915657871833254,178.92611202932306,"Huber
(Cutoff: π/4)"
10,0.3,frechet,0.5482481369969407,0.5482481369969407,1.0,1.8915657871833254,2.8983826029826902,"$L^2 loss$
(Fréchet mean)"
20,0.3,frechet,0.440699829854722,0.440699829854722,1.0,1.8915657871833254,4.659629951448372,"$L^2 loss$
(Fréchet mean)"
50,0.3,frechet,0.40858121371752726,0.40858121371752726,1.0,1.8915657871833254,10.800079396813722,"$L^2 loss$
(Fréchet mean)"
100,0.3,frechet,0.4032217281750024,0.4032217281750024,1.0,1.8915657871833254,21.31682286215527,"$L^2 loss$
(Fréchet mean)"
500,0.3,frechet,0.39417729222539655,0.39417729222539655,1.0,1.8915657871833254,104.19338700673856,"$L^2 loss$
(Fréchet mean)"
1000,0.3,frechet,0.3992609235114886,0.3992609235114886,1.0,1.8915657871833254,211.07429951247755,"$L^2 loss$
(Fréchet mean)"
5000,0.3,frechet,0.39565943573933515,0.39565943573933515,1.0,1.8915657871833254,1045.8516389443157,"$L^2 loss$
(Fréchet mean)"
10000,0.3,frechet,0.39492299593612257,0.39492299593612257,1.0,1.8915657871833254,2087.809996416729,"$L^2 loss$
(Fréchet mean)"
