n,epsilon,M-estimator,m_est,x,y,theta
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7631234702413953,0.6462527130826825,0.7026637046869542
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7132397854799274,-0.7009201155684904,-0.7766867310777845
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.6760333479952307,-0.7368710283342403,-0.8284301792746263
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7625152941504123,-0.6469701895657243,-0.703604263418017
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8089279923702515,-0.587907733543141,-0.6284699341976044
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7870616343195289,0.6168743662872291,0.6647652236679673
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.79708211492952,-0.6038709316232084,-0.6483486041186948
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8492235196683675,-0.5280335345809656,-0.5562832898055124
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7409536416533204,0.6715561785291526,0.7363070312265632
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.720725122779867,-0.6932209585651193,-0.765948556137207
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8386317029320931,0.5446988772131055,0.5760300084517952
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7775333866980557,0.6288416593784559,0.6800625492496
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.745449526079509,-0.6665620781801455,-0.7295873448516115
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7788793306136567,-0.6271738103132339,-0.6779193536713815
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7836545918736074,-0.6211968131239954,-0.6702690006756045
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7926752268824161,0.60964414594656,0.6556115854466863
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7519312565833268,-0.6592415227919258,-0.7198096087540929
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.837186503909544,0.5469175053622928,0.5786778217335845
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7982789192539231,0.6022879436571739,0.6463641160779228
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7331569748133265,-0.6800594461387707,-0.7478437140270531
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7335549764388868,-0.6796301174475299,-0.747258283904101
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7688229460662329,0.6394617092539929,0.6937979124190512
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8091302580496383,0.5876293266239547,0.6281258094834712
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8114469451811274,-0.584426090413678,-0.6241726105463671
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8145159172905899,-0.5801412073627147,-0.6189020435109778
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8427997579636476,-0.5382272456652629,-0.5683322821490046
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7436561371386169,0.6685623005345639,0.7322738179486326
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7841086087241418,-0.6206236296860519,-0.669537788956658
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7601359319642074,-0.6497640840619787,-0.707274035343244
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7928671310534743,-0.6093945458363017,-0.6552967403629874
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8147828955765062,0.5797661882827947,0.6184416993797051
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7901005693976221,0.612977234681316,0.6598232796305695
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7902611826962986,0.6127701552160028,0.6595612137284393
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8576206332401533,0.5142828496467267,0.5401712300862634
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7437697231045888,-0.6684359348456101,-0.7321039060329823
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7539748215205146,0.6569033174776225,0.716704231241795
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7253371984011823,-0.6883937453343993,-0.7592722252079503
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7260353407206713,-0.687657388547972,-0.7582575212592427
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7799436616086772,0.6258497301401097,0.6762205336497488
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7370218338846019,-0.6758689343189085,-0.7421430462625686
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8171385679940935,0.5764412898956498,0.6143668785494519
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7882549320789621,-0.6153488133190713,-0.6628284034455425
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7575607135801031,-0.6527647089418988,-0.711228212851686
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.73008991758301,0.6833510900288609,0.7523428021232528
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7889327828275847,0.6144795067208692,0.6617260533549904
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8474471223948341,-0.5308798119581419,-0.5596384191235927
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7618904491018553,0.6477059082387395,0.7045695164277871
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7509025028256942,-0.660413076225861,-0.7213687342252584
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8480108706340962,-0.5299788328663705,-0.5585756042255936
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7680814523305723,-0.64035215513478,-0.6949566647553479
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.79953655760545,-0.6006174265307535,-0.6442731155313025
